block,treat,densitycrop,densityweed,yl,weed
1,1,1,0,-3.523399677,1
2,1,1,0,5.890263583,1
3,1,1,0,3.187197418,1
4,1,1,0,-3.738569123,1
1,2,1,1,68.04733728,1
2,2,1,1,61.63259817,1
3,2,1,1,69.32490586,1
4,2,1,1,54.06132329,1
1,3,1,2,86.08122647,1
2,3,1,2,87.0091447,1
3,3,1,2,80.56750941,1
4,3,1,2,90.26358257,1
1,4,1,3,94.71490048,1
2,4,1,3,88.90532544,1
3,4,1,3,80.15061861,1
4,4,1,3,94.84938139,1
1,5,1,4,86.05433029,1
2,5,1,4,91.99838623,1
3,5,1,4,88.8246369,1
4,5,1,4,93.96180742,1
1,6,1,5,90,1
2,6,1,5,90,1
3,6,1,5,90,1
4,6,1,5,90,1
1,7,1,6,90,1
2,7,1,6,90,1
3,7,1,6,90,1
4,7,1,6,90,1
