block,treat,densitycrop,densityweed,species1g,yl,weed
1,1,1,0,76.98,-3.523399677,1
2,1,1,0,69.98,5.890263583,1
3,1,1,0,71.99,3.187197418,1
4,1,1,0,77.14,-3.738569123,1
1,2,1,1,23.76,68.04733728,1
2,2,1,1,28.53,61.63259817,1
3,2,1,1,22.81,69.32490586,1
4,2,1,1,34.16,54.06132329,1
1,3,1,2,10.35,86.08122647,1
2,3,1,2,9.66,87.0091447,1
3,3,1,2,14.45,80.56750941,1
4,3,1,2,7.24,90.26358257,1
1,4,1,3,3.93,94.71490048,1
2,4,1,3,8.25,88.90532544,1
3,4,1,3,14.76,80.15061861,1
4,4,1,3,3.83,94.84938139,1
1,5,1,4,10.37,86.05433029,1
2,5,1,4,5.95,91.99838623,1
3,5,1,4,8.31,88.8246369,1
4,5,1,4,4.49,93.96180742,1
1,1,1,0,75.25,-1.196880043,2
2,1,1,0,73.44,1.237224314,2
3,1,1,0,79.85,-7.383001614,2
4,1,1,0,70.25,5.527165143,2
1,2,1,1,53.82,27.62237762,2
2,2,1,1,49.38,33.59332975,2
3,2,1,1,46.17,37.91016676,2
4,2,1,1,44.96,39.53738569,2
1,3,1,2,20.44,72.51210328,2
2,3,1,2,35.5,52.25927918,2
3,3,1,2,39.26,47.2027972,2
4,3,1,2,40.2,45.93867671,2
1,4,1,3,24.32,67.29424422,2
2,4,1,3,17.7,76.19688004,2
3,4,1,3,24.32,67.29424422,2
4,4,1,3,17.23,76.82894029,2
1,5,1,4,20.19,72.84830554,2
2,5,1,4,18.25,75.45723507,2
3,5,1,4,19.25,74.11242604,2
4,5,1,4,25.5,65.70736955,2
